,name,full_text,date,url
67,Andrew Tate,"The cast have confirmed this show is trash.

Do not watch.",2022-12-25T15:57:54.000Z,https://twitter.com/Cobratate/status/1607042964462927872
68,Andrew Tate,"The best thing about being rich

Watch the full EM episode here:
https://t.co/nc4IRs93iX https://t.co/8BCbBO2NnL",2022-12-25T15:47:13.000Z,https://twitter.com/Cobratate/status/1607040274307641347
69,Andrew Tate,Romania https://t.co/yTUVAeJevY,2022-12-25T15:00:30.000Z,https://twitter.com/Cobratate/status/1607028516243247106
70,Andrew Tate,Video please,2022-12-25T12:39:38.000Z,https://twitter.com/Cobratate/status/1606993068930265089
71,Andrew Tate,"Tell your stupid cousin whos tripple vaxed and your auntie who watches CNN that they LIVE INSIDE OF THE MATRIX and have SLAVE MINDS at xmas dinner.

Start a huge family argument and call everyone brokies.

Say TOP G will make you so rich that youll never speak to them again.",2022-12-25T12:38:09.000Z,https://twitter.com/Cobratate/status/1606992693787299840
72,Andrew Tate,"You are poor.
You are unimportant.
Men do not fear you.
Your woman disagrees with you.

Your lives are shit.

If I was forced to endure a year of your life it would be the worst level of depression imaginable.",2022-12-25T11:39:24.000Z,https://twitter.com/Cobratate/status/1606977909771714560
73,Andrew Tate,Where is my present @adinross,2022-12-25T11:06:15.000Z,https://twitter.com/Cobratate/status/1606969565870948353
74,Andrew Tate,"TATE’S CHRISTMAS MESSAGE

Watch now:
https://t.co/BnJONDfsil https://t.co/tuY0K4TAJP",2022-12-25T10:36:05.000Z,https://twitter.com/Cobratate/status/1606961977028665344
75,Andrew Tate,"Merry Christmas to all the wageys and brokies.

Remember... you have work tomorrow.",2022-12-25T10:22:25.000Z,https://twitter.com/Cobratate/status/1606958535656497153
76,Andrew Tate,"Death smiles at us all. 

All a man can do is smile back.",2022-12-24T21:18:21.000Z,https://twitter.com/Cobratate/status/1606761218244485120
77,Andrew Tate,"Brother &lt;3 

https://t.co/8EUCQbL4Y0",2022-12-24T18:32:56.000Z,https://twitter.com/Cobratate/status/1606719590221873152
78,Andrew Tate,Welcome to life outside of the matrix. Join: https://t.co/P0AAPfO8k2,2022-12-24T17:33:07.000Z,https://twitter.com/Cobratate/status/1606704536634081280
79,Andrew Tate,MPBUH https://t.co/LQDR8SbOn1,2022-12-24T17:30:03.000Z,https://twitter.com/Cobratate/status/1606703765125533698
80,Andrew Tate,"Christmas sees a lot of erratic and irresponsible driving. 

Everybody please be extra careful on the roads. 

As you know lots of men drink too much alcohol and are forced to let their wives drive.",2022-12-24T16:04:46.000Z,https://twitter.com/Cobratate/status/1606682305371725827
81,Andrew Tate,"What if your family is not supporting your goals

Watch the full EM episode here:
https://t.co/nc4IRrQU4P https://t.co/O0eUFNGtfX",2022-12-24T15:52:13.000Z,https://twitter.com/Cobratate/status/1606679144523124736
82,Andrew Tate,G,2022-12-24T12:23:01.000Z,https://twitter.com/Cobratate/status/1606626499313942528
83,Andrew Tate,I rejected the offers @loganpaul took. They offered me hundreds of millions and I said no. https://t.co/nAx9KP9uhr,2022-12-24T12:16:54.000Z,https://twitter.com/Cobratate/status/1606624957273874433
84,Andrew Tate,I don’t understand how any self-respecting man can expect anything less than the absolute best of everything,2022-12-24T10:48:35.000Z,https://twitter.com/Cobratate/status/1606602734702149634
85,Andrew Tate,"What did I tell you all about Logan Paul months ago?

I said hes an agent of the Matrix who will say anything he is told, and scam his own fans for personal gain.

If you listen to Tate, your life gets better.

if you listen to Logan, HIS LIFE gets better and yours gets worse.",2022-12-24T09:23:13.000Z,https://twitter.com/Cobratate/status/1606581251774758912
86,Andrew Tate,"Make a plan.

REFUSE to ever quit.

Otherwise your name will be erased from the flow of history.

History never remembers quitters.

What will you make your name mean?",2022-12-23T21:58:04.000Z,https://twitter.com/Cobratate/status/1606408825732571150
87,Andrew Tate,"My team has been tested. 

We survived assassination. 

I know my friends will die beside me. 

Enemies tried when we were at the bottom. 

And that’s why I made sure we all went to the top. 

Together.",2022-12-23T20:21:08.000Z,https://twitter.com/Cobratate/status/1606384430586728467
88,Andrew Tate,"You’ll only change when you are genuinely uncomfortable

Watch the full EM episode here:
https://t.co/nc4IRs8vtp https://t.co/wQtdpj1dUT",2022-12-23T18:20:12.000Z,https://twitter.com/Cobratate/status/1606353998184943616
